

=== TOP 60 BY CUMULATIVE ===
         8044788 function calls (8044532 primitive calls) in 9.616 seconds

   Ordered by: cumulative time
   List reduced from 480 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50264    0.078    0.000    0.193    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:86(_wrapreduction_any_all)
    52273    0.067    0.000    0.183    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:66(_wrapreduction)
      547    0.130    0.000    0.179    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:204(calc_optimal_price_cars)
   600200    0.178    0.000    0.178    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:1343(<genexpr>)
      186    0.168    0.001    0.168    0.001 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:867(vectorised_calculate_utility_second_hand_cars)
  1178890    0.154    0.000    0.154    0.000 {method 'append' of 'list' objects}
    32879    0.140    0.000    0.140    0.000 {built-in method numpy.array}
    12817    0.024    0.000    0.133    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3699(mean)
    49826    0.061    0.000    0.131    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/numerictypes.py:475(issubdtype)
      200    0.128    0.001    0.128    0.001 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:1370(update_prices_and_emissions_intensity)
      470    0.001    0.000    0.122    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:547(generate_neighbouring_technologies)
      186    0.065    0.000    0.122    0.001 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/secondHandMerchant.py:55(gen_vehicle_dict_vecs_second_hand)
